ID_Caso,ID_Caso_Relacionado,anho,mes,dia,DANE_municipio,Municipio,Departamento,Region,Modalidad,Presunto_Responsable,Detalle_Presunto_Responsable,Abandono_Despodo_Tierras,Amenaza_Intimidación,Ataque_Mision_Medica,Confinamiento,Desplazamiento_Forzado,Extorsion,Lesionados_Civiles,Pillaje,Tortura,violencia_fisica,otro_hecho,victimas,armas
106422,,1988,07,12,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,Ruta,Grupo Paramilitar,Otro,0,0,0,0,0,0,0,0,1,,,5,ND
108305,,1988,07,12,47189,CIÉNAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,Ruta,Grupo Paramilitar,Otro,1,1,0,0,1,0,0,0,2,,,5,Arma de Fuego - Objeto Contundente
114972,,1988,11,05,50711,VISTAHERMOSA,META,ARIARI GUAYABERO,Interceptación,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
126828,,1982,10,17,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,Desconocida,Grupo Paramilitar,Muerte a Secuestradores (MAS),0,1,0,0,0,0,0,1,7,,,7,ND
138992,,1990,06,08,81220,CRAVO NORTE,ARAUCA,LLANOS ORIENTALES,Asalto,Guerrilla,ELN,0,0,0,0,0,0,0,1,0,,,4,Arma de Fuego
146874,,1990,11,17,05001,MEDELLÍN,ANTIOQUIA,VALLE DE ABURRA,Resistencia a la Retención,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
162360,,1989,11,10,23580,PUERTO LIBERTADOR,CÓRDOBA,ALTO SINU Y SAN JORGE,Falso Positivo,Agente del Estado,Ejército Nacional,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
162668,,1991,06,30,23855,VALENCIA,CÓRDOBA,ALTO SINU Y SAN JORGE,Retención/Ejecución,Grupo Paramilitar,No Identificado,0,1,0,0,1,0,0,0,2,,,4,Arma de Fuego
163072,,1986,08,03,25885,YACOPÍ,CUNDINAMARCA,MAGDALENA MEDIO,Ruta,Guerrilla,FARC,0,1,0,0,1,0,0,0,0,,,4,Arma de Fuego
184609,,1988,04,19,50573,PUERTO LÓPEZ,META,ALTILLANURA,Retención/Ejecución,Grupo Armado No Identificado,No Aplica,0,1,0,0,1,0,1,0,0,,,4,Arma de Fuego
218398,,1989,11,13,20011,AGUACHICA,CESAR,MAGDALENA MEDIO,Retención/Ejecución,Grupo Armado No Identificado,No Aplica,0,1,0,0,0,0,0,0,0,,,4,ND
288320,,1985,10,20,19743,SILVIA,CAUCA,NORTE DEL CAUCA,Retención/Ejecución,Guerrilla,Quintín Lame,0,0,0,0,0,0,0,0,0,,,6,Arma de Fuego
288321,,1988,12,30,19137,CALDONO,CAUCA,NORTE DEL CAUCA,Retención/Ejecución,Guerrilla,Quintín Lame,0,0,0,0,0,0,0,0,0,,,6,ND
288603,,1981,00,00,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,Desconocida,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,5,Arma de Fuego
288604,,1981,01,06,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,Retención/Ejecución,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
