,ID_Caso,ID_Caso_Relacionado,anho,mes,dia,DANE_municipio,Municipio,Departamento,Region,Modalidad,Presunto_Responsable,Detalle_Presunto_Responsable,Abandono_Despodo_Tierras,Amenaza_Intimidación,Ataque_Mision_Medica,Confinamiento,Desplazamiento_Forzado,Extorsion,Lesionados_Civiles,Pillaje,Tortura,violencia_fisica,otro_hecho,victimas,armas
0,100649,CR030032,1998,1,25,25530,PARATEBUENO,CUNDINAMARCA,PIEDEMONTE LLANERO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1,1,0,0,1,1,0,0,2,,Venta a bajo precio.,5,Arma de Fuego
1,102446,,2007,10,17,27361,ISTMINA,CHOCÓ,VALLE DE SAN JUAN,Engaño,Grupo Posdesmovilización,Los Rastrojos,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
2,105517,,2005,12,7,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
3,105564,,2000,6,18,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,3,0,0,,,4,Arma de Fuego
4,105630,,2002,6,2,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
5,105646,,2002,8,6,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,Retención/Ejecución,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,1,,,4,Arma de Fuego
6,106422,,1988,7,12,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,Ruta,Grupo Paramilitar,Otro,0,0,0,0,0,0,0,0,1,,,5,ND
7,107728,CR036098,2002,3,7,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
8,108305,,1988,7,12,47189,CIÉNAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,Ruta,Grupo Paramilitar,Otro,1,1,0,0,1,0,0,0,2,,,5,Arma de Fuego - Objeto Contundente
9,109656,,1995,5,21,47268,EL RETÉN,MAGDALENA,CIENAGA GRANDE DE SANTA MARTA,Asalto,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
10,110073,,1993,2,5,47053,ARACATACA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,Retención/Ejecución,Grupo Paramilitar,Otro,0,0,0,0,0,0,0,0,1,,,5,ND
11,110860,,1997,12,31,47707,SANTA ANA,MAGDALENA,SUR DE MAGDALENA,Desconocida,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,Intento de ocultamiento de cadáver,4,ND
12,111718,,2002,4,15,50001,VILLAVICENCIO,META,PIEDEMONTE LLANERO,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,5,Arma de Fuego
13,11364,,1997,7,3,47189,CIÉNAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,Retén,Guerrilla,ELN,0,0,0,0,0,0,0,0,2,,,4,Arma Corto Punzante - Objeto Contundente
14,114972,,1988,11,5,50711,VISTAHERMOSA,META,ARIARI GUAYABERO,Interceptación,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
15,116780,,2000,5,23,52835,SAN ANDRÉS DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,Ataque Indiscriminado,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
16,117105,,2002,5,5,54001,CÚCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
17,117745,,2002,9,16,54001,CÚCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,1,0,0,,,4,Arma de Fuego
18,118230,,1999,11,3,54001,CÚCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,Ataque Indiscriminado,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,5,0,0,,Señalamiento,5,Arma de Fuego
19,122674,,2005,7,16,66001,PEREIRA,RISARALDA,EJE CAFETERO,Desconocida,Desconocido,No Aplica,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego - Asfixia Mecánica
20,124357,CR046717,2002,5,9,68001,BUCARAMANGA,SANTANDER,PROVINCIA DE SOTO,Engaño,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,0,,,4,Arma de Fuego
21,124761,CR2017124761,1998,2,22,68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,1,0,0,0,0,,,4,Arma de Fuego
22,124971,,1996,7,13,68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,Sicariato,Grupo Armado No Identificado,Presencia GAO sin Atribución,0,0,0,0,1,0,0,0,0,,,4,Arma de Fuego
23,125942,,2000,7,22,68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,1,0,0,,,4,Arma de Fuego
24,126828,,1982,10,17,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,Desconocida,Grupo Paramilitar,Muerte a Secuestradores (MAS),0,1,0,0,0,0,0,1,7,,,7,ND
25,12727,CR201712727,1998,10,26,86757,SAN MIGUEL,PUTUMAYO,BAJO PUTUMAYO,Falso Positivo,Agente del Estado,Ejército Nacional,0,0,0,0,0,0,0,0,0,,,6,Arma de Fuego
26,128227,CR046280,2000,11,12,68575,PUERTO WILCHES,SANTANDER,MAGDALENA MEDIO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,2,0,0,,,4,Arma de Fuego
27,128631,CR2017128631,2000,1,30,68655,SABANA DE TORRES,SANTANDER,MAGDALENA MEDIO,Ruta,Grupo Paramilitar,No Identificado,1,1,0,0,1,0,0,1,1,,,5,Arma de Fuego
28,129995,,2003,11,15,70235,GALERAS,SUCRE,MORROSQUILLO Y SABANAS DE SUCRE,Asalto,Grupo Armado No Dirimido,No Aplica,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
29,130239,,1998,11,2,70508,OVEJAS,SUCRE,MONTES DE MARIA,Ruta,Grupo Paramilitar,No Identificado,1,0,0,0,0,0,0,0,0,,,4,ND
30,130742,CR2017130742,1996,12,4,70823,TOLÚ VIEJO,SUCRE,MONTES DE MARIA,Incursión,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1,1,0,0,1,0,0,1,12,,,12,Arma de Fuego - Material Incendiario
31,131982,,2003,11,4,73283,FRESNO,TOLIMA,NORTE DEL TOLIMA,Retención/Ejecución,Grupo Paramilitar,Autodefensas Campesinas del Magdalena Medio,0,0,0,0,0,0,0,0,0,,,5,Arma de Fuego
32,133638,,1995,12,7,73870,VILLAHERMOSA,TOLIMA,NORTE DEL TOLIMA,Ataque Indiscriminado,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
33,134262,,1995,4,9,76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,Asalto,Grupo Armado No Identificado,No Aplica,0,1,0,0,0,0,9,0,0,,,4,Arma de Fuego
34,135113,,2003,2,10,76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1,0,0,0,1,0,0,0,0,,,4,Arma de Fuego
35,136809,,2002,2,2,76275,FLORIDA,VALLE DEL CAUCA,SUR DEL VALLE,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,4,Arma de Fuego
36,137299,,2002,3,1,76520,PALMIRA,VALLE DEL CAUCA,SUR DEL VALLE,Sicariato,Grupo Paramilitar,No Identificado,0,1,0,0,1,0,0,0,0,,,4,Arma de Fuego
37,138992,,1990,6,8,81220,CRAVO NORTE,ARAUCA,LLANOS ORIENTALES,Asalto,Guerrilla,ELN,0,0,0,0,0,0,0,1,0,,,4,Arma de Fuego
