Municipio,victimas
CIMITARRA,247
PUERTO BOYACÁ,95
PUERTO BERRÍO,57
SIN INFORMACION,48
SANTA HELENA DEL OPÓN,40
TURBO,36
REMEDIOS,30
OTANCHE,22
SAN VICENTE DE CHUCURÍ,21
CHIGORODÓ,20
MONTERÍA,18
JAMBALÓ,18
APARTADÓ,18
LA PAZ,16
CAREPA,16
PUERTO NARE,15
SABANA DE TORRES,15
CALOTO,14
PUERTO TRIUNFO,13
VALDIVIA,13
MUTATÁ,12
SAN JUAN DE URABÁ,12
YACOPÍ,11
SAN JUAN DEL CESAR,11
PUERTO GAITÁN,10
SAN PABLO DE BORBUR,10
LA JAGUA DE IBIRICO,10
FRONTINO,10
GUADALUPE,10
BOLÍVAR,9
AMALFI,8
SONSÓN,8
VALENCIA,8
CIÉNAGA,7
BARRANCO DE LOBA,7
LA PLAYA,7
RIOBLANCO,7
VISTAHERMOSA,7
PUERTO RICO,7
CALAMAR,7
SANTANDER DE QUILICHAO,7
PEREIRA,7
CAUCASIA,6
SANTA FÉ DE ANTIOQUIA,6
ÁBREGO,6
COCORNÁ,5
MEDELLÍN,5
SABANETA,5
BAGADÓ,5
TRINIDAD,5
LANDÁZURI,5
BELÉN DE LOS ANDAQUÍES,5
FLORIÁN,5
DIBULLA,5
CÚCUTA,5
CAPARRAPÍ,5
TAME,5
CORINTO,5
VILLA CARO,4
SANTO DOMINGO,4
SILVIA,4
ZAPAYÁN,4
SAN PABLO,4
SAN MARTÍN,4
SOLITA,4
AGUSTÍN CODAZZI,4
SAN JUAN DE ARAMA,4
SAHAGÚN,4
ARAUQUITA,4
BECERRIL,4
BUCARAMANGA,4
BURITICÁ,4
CALDONO,4
CHIQUINQUIRÁ,4
EL BAGRE,4
EL DONCELLO,4
FLORIDA,4
LA DORADA,4
MATANZA,4
MESETAS,4
MONTELÍBANO,4
NECHÍ,4
PITALITO,4
PUERTO SALGAR,4
PÁEZ,4
RIONEGRO,4
RISARALDA,4
ORTEGA,4
