Municipio,victimas,numero_masacres
CIMITARRA,247,38
PUERTO BOYACÁ,95,14
PUERTO BERRÍO,57,10
SIN INFORMACION,48,8
SANTA HELENA DEL OPÓN,40,5
TURBO,36,6
REMEDIOS,30,2
OTANCHE,22,3
SAN VICENTE DE CHUCURÍ,21,4
CHIGORODÓ,20,3
MONTERÍA,18,3
JAMBALÓ,18,4
APARTADÓ,18,3
LA PAZ,16,3
CAREPA,16,2
PUERTO NARE,15,3
SABANA DE TORRES,15,2
CALOTO,14,2
PUERTO TRIUNFO,13,3
VALDIVIA,13,3
MUTATÁ,12,3
SAN JUAN DE URABÁ,12,2
YACOPÍ,11,2
SAN JUAN DEL CESAR,11,1
PUERTO GAITÁN,10,2
SAN PABLO DE BORBUR,10,2
LA JAGUA DE IBIRICO,10,2
FRONTINO,10,1
GUADALUPE,10,1
BOLÍVAR,9,2
AMALFI,8,1
SONSÓN,8,1
VALENCIA,8,2
CIÉNAGA,7,1
BARRANCO DE LOBA,7,1
LA PLAYA,7,1
RIOBLANCO,7,1
VISTAHERMOSA,7,1
PUERTO RICO,7,1
CALAMAR,7,1
SANTANDER DE QUILICHAO,7,1
PEREIRA,7,1
CAUCASIA,6,1
SANTA FÉ DE ANTIOQUIA,6,1
ÁBREGO,6,1
COCORNÁ,5,1
MEDELLÍN,5,1
SABANETA,5,1
BAGADÓ,5,1
TRINIDAD,5,1
LANDÁZURI,5,1
BELÉN DE LOS ANDAQUÍES,5,1
FLORIÁN,5,1
DIBULLA,5,1
CÚCUTA,5,1
CAPARRAPÍ,5,1
TAME,5,1
CORINTO,5,1
VILLA CARO,4,1
SANTO DOMINGO,4,1
SILVIA,4,1
ZAPAYÁN,4,1
SAN PABLO,4,1
SAN MARTÍN,4,1
SOLITA,4,1
AGUSTÍN CODAZZI,4,1
SAN JUAN DE ARAMA,4,1
SAHAGÚN,4,1
ARAUQUITA,4,1
BECERRIL,4,1
BUCARAMANGA,4,1
BURITICÁ,4,1
CALDONO,4,1
CHIQUINQUIRÁ,4,1
EL BAGRE,4,1
EL DONCELLO,4,1
FLORIDA,4,1
LA DORADA,4,1
MATANZA,4,1
MESETAS,4,1
MONTELÍBANO,4,1
NECHÍ,4,1
PITALITO,4,1
PUERTO SALGAR,4,1
PÁEZ,4,1
RIONEGRO,4,1
RISARALDA,4,1
ORTEGA,4,1
